Unnamed: 0,Cars,2021_week,Cumulative,Avg/wk,2021_Y-t-d,country,date
Coal,"65,712",14.2%,"65,712",14.2%,11.5%,U.S,2021-10-27
"Farm Products excl. Grain, and Food","17,394",4.4%,"17,394",4.4%,2.3%,U.S,2021-10-27
Forest Products,"10,162",7.1%,"10,162",7.1%,8.4%,U.S,2021-10-27
Grain,"25,857",-0.5%,"25,857",-0.5%,6.7%,U.S,2021-10-27
Metallic Ores and Metals,"23,192",12.3%,"23,192",12.3%,26.6%,U.S,2021-10-27
Motor Vehicles and Parts,"13,403",-13.3%,"13,403",-13.3%,3.0%,U.S,2021-10-27
Nonmetallic Minerals,"31,441",1.1%,"31,441",1.1%,0.8%,U.S,2021-10-27
Petroleum and Petroleum Products,"9,544",-6.1%,"9,544",-6.1%,-3.8%,U.S,2021-10-27
Other,"11,036",16.2%,"11,036",16.2%,3.9%,U.S,2021-10-27
Total Intermodal Units,"271,567",-8.0%,"271,567",-8.0%,8.5%,U.S,2021-10-27
Total Traffic,"510,762",-2.3%,"510,762",-2.3%,8.0%,U.S,2021-10-27
Total Carloads,"78,908",-2.0%,"78,908",-2.0%,2.4%,Canadian,2021-10-27
Chemicals,"11,401",8.6%,"11,401",8.6%,1.4%,Canadian,2021-10-27
Coal,"7,326",1.7%,"7,326",1.7%,15.9%,Canadian,2021-10-27
"Farm Products excl. Grain, and Food","7,073",-18.5%,"7,073",-18.5%,-13.8%,Canadian,2021-10-27
Forest Products,"6,449",4.0%,"6,449",4.0%,1.9%,Canadian,2021-10-27
Grain,"9,298",-25.6%,"9,298",-25.6%,-1.9%,Canadian,2021-10-27
Metallic Ores and Metals,"16,003",0.5%,"16,003",0.5%,5.8%,Canadian,2021-10-27
Motor Vehicles and Parts,"4,077",-16.8%,"4,077",-16.8%,2.3%,Canadian,2021-10-27
Nonmetallic Minerals,"6,878",36.8%,"6,878",36.8%,12.1%,Canadian,2021-10-27
Petroleum and Petroleum Products,"8,736",17.5%,"8,736",17.5%,7.3%,Canadian,2021-10-27
Other,"1,667",-21.3%,"1,667",-21.3%,-16.9%,Canadian,2021-10-27
Total Intermodal Units,"70,889",-11.1%,"70,889",-11.1%,6.0%,Canadian,2021-10-27
Total Traffic,"149,797",-6.5%,"149,797",-6.5%,4.1%,Canadian,2021-10-27
Total Carloads,"19,781",-10.2%,"19,781",-10.2%,6.8%,Mexican,2021-10-27
Chemicals,954,-5.4%,954,-5.4%,-5.1%,Mexican,2021-10-27
Coal,25,108.3%,25,108.3%,438.8%,Mexican,2021-10-27
"Farm Products excl. Grain, and Food","2,248",-32.4%,"2,248",-32.4%,-0.4%,Mexican,2021-10-27
Forest Products,29,70.6%,29,70.6%,-9.3%,Mexican,2021-10-27
Grain,"1,655",-3.0%,"1,655",-3.0%,-8.5%,Mexican,2021-10-27
Metallic Ores and Metals,"4,530",-8.9%,"4,530",-8.9%,12.9%,Mexican,2021-10-27
Motor Vehicles and Parts,"4,171",-15.4%,"4,171",-15.4%,7.4%,Mexican,2021-10-27
Nonmetallic Minerals,"4,336",-7.1%,"4,336",-7.1%,8.6%,Mexican,2021-10-27
Petroleum and Petroleum Products,977,28.9%,977,28.9%,35.5%,Mexican,2021-10-27
Other,856,39.2%,856,39.2%,0.1%,Mexican,2021-10-27
Total Intermodal Units,"15,645",-1.3%,"15,645",-1.3%,-0.3%,Mexican,2021-10-27
Total Traffic,"35,426",-6.4%,"35,426",-6.4%,3.6%,Mexican,2021-10-27
Total Carloads,"337,884",2.4%,"337,884",2.4%,6.3%,North_american,2021-10-27
Chemicals,"43,809",3.2%,"43,809",3.2%,4.2%,North_american,2021-10-27
Coal,"73,063",12.8%,"73,063",12.8%,12.0%,North_american,2021-10-27
"Farm Products excl. Grain, and Food","26,715",-6.8%,"26,715",-6.8%,-3.0%,North_american,2021-10-27
Forest Products,"16,640",6.0%,"16,640",6.0%,5.7%,North_american,2021-10-27
Grain,"36,810",-8.4%,"36,810",-8.4%,3.3%,North_american,2021-10-27
Metallic Ores and Metals,"43,725",5.2%,"43,725",5.2%,16.7%,North_american,2021-10-27
Motor Vehicles and Parts,"21,651",-14.4%,"21,651",-14.4%,3.6%,North_american,2021-10-27
Nonmetallic Minerals,"42,655",4.5%,"42,655",4.5%,3.1%,North_american,2021-10-27
Petroleum and Petroleum Products,"19,257",4.9%,"19,257",4.9%,2.3%,North_american,2021-10-27
Other,"13,559",10.8%,"13,559",10.8%,0.4%,North_american,2021-10-27
Total Intermodal Units,"358,101",-8.3%,"358,101",-8.3%,7.6%,North_american,2021-10-27
Total Traffic,"695,985",-3.4%,"695,985",-3.4%,6.9%,North_american,2021-10-27
Total Carloads,"238,267",4.9%,"238,267",4.9%,7.5%,U.S,2021-11-03
Chemicals,"33,343",9.2%,"33,343",9.2%,5.7%,U.S,2021-11-03
Coal,"66,818",14.3%,"66,818",14.3%,11.6%,U.S,2021-11-03
"Farm Products excl. Grain, and Food","17,193",3.7%,"17,193",3.7%,2.4%,U.S,2021-11-03
Forest Products,"9,729",3.1%,"9,729",3.1%,8.3%,U.S,2021-11-03
Grain,"24,711",-8.7%,"24,711",-8.7%,6.2%,U.S,2021-11-03
Metallic Ores and Metals,"24,059",16.5%,"24,059",16.5%,26.3%,U.S,2021-11-03
Motor Vehicles and Parts,"12,697",-14.3%,"12,697",-14.3%,2.5%,U.S,2021-11-03
Nonmetallic Minerals,"30,737",5.3%,"30,737",5.3%,0.9%,U.S,2021-11-03
Petroleum and Petroleum Products,"9,558",-6.5%,"9,558",-6.5%,-3.8%,U.S,2021-11-03
Other,"9,422",-8.5%,"9,422",-8.5%,3.6%,U.S,2021-11-03
Total Intermodal Units,"271,874",-7.3%,"271,874",-7.3%,8.0%,U.S,2021-11-03
Total Traffic,"510,141",-2.0%,"510,141",-2.0%,7.8%,U.S,2021-11-03
Total Carloads,"79,459",3.3%,"79,459",3.3%,2.4%,Canadian,2021-11-03
Chemicals,"12,146",4.6%,"12,146",4.6%,1.5%,Canadian,2021-11-03
Coal,"7,495",2.8%,"7,495",2.8%,15.6%,Canadian,2021-11-03
"Farm Products excl. Grain, and Food","7,013",-24.6%,"7,013",-24.6%,-14.0%,Canadian,2021-11-03
Forest Products,"6,636",2.4%,"6,636",2.4%,1.9%,Canadian,2021-11-03
Grain,"9,599",-19.2%,"9,599",-19.2%,-2.4%,Canadian,2021-11-03
Metallic Ores and Metals,"16,183",59.5%,"16,183",59.5%,6.7%,Canadian,2021-11-03
Motor Vehicles and Parts,"4,171",-22.2%,"4,171",-22.2%,1.5%,Canadian,2021-11-03
Nonmetallic Minerals,"5,936",17.2%,"5,936",17.2%,12.2%,Canadian,2021-11-03
Petroleum and Petroleum Products,"8,427",13.9%,"8,427",13.9%,7.4%,Canadian,2021-11-03
Other,"1,853",-22.3%,"1,853",-22.3%,-17.1%,Canadian,2021-11-03
Total Intermodal Units,"69,710",-14.1%,"69,710",-14.1%,5.4%,Canadian,2021-11-03
Total Traffic,"149,169",-5.6%,"149,169",-5.6%,3.9%,Canadian,2021-11-03
Total Carloads,"20,001",-6.6%,"20,001",-6.6%,6.5%,Mexican,2021-11-03
Chemicals,962,-8.7%,962,-8.7%,-5.2%,Mexican,2021-11-03
Coal,157,772.2%,157,772.2%,449.9%,Mexican,2021-11-03
"Farm Products excl. Grain, and Food","2,307",-11.4%,"2,307",-11.4%,-0.7%,Mexican,2021-11-03
Forest Products,39,333.3%,39,333.3%,-5.8%,Mexican,2021-11-03
Grain,"1,758",-18.3%,"1,758",-18.3%,-8.7%,Mexican,2021-11-03
Metallic Ores and Metals,"4,483",-3.0%,"4,483",-3.0%,12.5%,Mexican,2021-11-03
Motor Vehicles and Parts,"3,658",-19.3%,"3,658",-19.3%,6.6%,Mexican,2021-11-03
Nonmetallic Minerals,"4,559",-8.2%,"4,559",-8.2%,8.1%,Mexican,2021-11-03
Petroleum and Petroleum Products,"1,132",33.0%,"1,132",33.0%,35.4%,Mexican,2021-11-03
Other,946,54.8%,946,54.8%,1.2%,Mexican,2021-11-03
Total Intermodal Units,"15,781",-5.9%,"15,781",-5.9%,-0.5%,Mexican,2021-11-03
Total Traffic,"35,782",-6.3%,"35,782",-6.3%,3.3%,Mexican,2021-11-03
Total Carloads,"337,727",3.7%,"337,727",3.7%,6.2%,North_american,2021-11-03
Chemicals,"46,451",7.5%,"46,451",7.5%,4.3%,North_american,2021-11-03
Coal,"74,470",13.2%,"74,470",13.2%,12.1%,North_american,2021-11-03
"Farm Products excl. Grain, and Food","26,513",-6.9%,"26,513",-6.9%,-3.1%,North_american,2021-11-03
Forest Products,"16,404",3.0%,"16,404",3.0%,5.7%,North_american,2021-11-03
Grain,"36,068",-12.2%,"36,068",-12.2%,2.8%,North_american,2021-11-03
Metallic Ores and Metals,"44,725",26.2%,"44,725",26.2%,17.0%,North_american,2021-11-03
Motor Vehicles and Parts,"20,526",-16.9%,"20,526",-16.9%,3.0%,North_american,2021-11-03
Nonmetallic Minerals,"41,232",5.1%,"41,232",5.1%,3.2%,North_american,2021-11-03
Petroleum and Petroleum Products,"19,117",3.5%,"19,117",3.5%,2.3%,North_american,2021-11-03
Other,"12,221",-8.0%,"12,221",-8.0%,0.2%,North_american,2021-11-03
Total Intermodal Units,"357,365",-8.7%,"357,365",-8.7%,7.1%,North_american,2021-11-03
Total Traffic,"695,092",-3.0%,"695,092",-3.0%,6.7%,North_american,2021-11-03
Total Carloads,"235,585",3.1%,"235,585",3.1%,7.4%,U.S,2021-11-10
Chemicals,"33,780",3.6%,"33,780",3.6%,5.7%,U.S,2021-11-10
Coal,"66,745",12.9%,"66,745",12.9%,11.6%,U.S,2021-11-10
"Farm Products excl. Grain, and Food","16,874",2.7%,"16,874",2.7%,2.4%,U.S,2021-11-10
Forest Products,"9,554",0.0%,"9,554",0.0%,8.1%,U.S,2021-11-10
Grain,"25,386",-7.4%,"25,386",-7.4%,5.8%,U.S,2021-11-10
Metallic Ores and Metals,"21,039",19.9%,"21,039",19.9%,26.2%,U.S,2021-11-10
Motor Vehicles and Parts,"11,946",-21.1%,"11,946",-21.1%,1.9%,U.S,2021-11-10
Nonmetallic Minerals,"30,650",0.9%,"30,650",0.9%,0.9%,U.S,2021-11-10
Petroleum and Petroleum Products,"10,010",-4.0%,"10,010",-4.0%,-3.8%,U.S,2021-11-10
Other,"9,601",-2.6%,"9,601",-2.6%,3.4%,U.S,2021-11-10
Total Intermodal Units,"268,526",-8.6%,"268,526",-8.6%,7.6%,U.S,2021-11-10
Total Traffic,"504,111",-3.5%,"504,111",-3.5%,7.5%,U.S,2021-11-10
Total Carloads,"79,368",0.8%,"79,368",0.8%,2.4%,Canadian,2021-11-10
Chemicals,"12,190",16.6%,"12,190",16.6%,1.8%,Canadian,2021-11-10
Coal,"7,704",1.6%,"7,704",1.6%,15.2%,Canadian,2021-11-10
"Farm Products excl. Grain, and Food","7,612",-8.7%,"7,612",-8.7%,-13.9%,Canadian,2021-11-10
Forest Products,"6,718",4.4%,"6,718",4.4%,1.9%,Canadian,2021-11-10
Grain,"9,059",-29.7%,"9,059",-29.7%,-3.3%,Canadian,2021-11-10
Metallic Ores and Metals,"15,478",22.0%,"15,478",22.0%,7.0%,Canadian,2021-11-10
Motor Vehicles and Parts,"3,763",-26.7%,"3,763",-26.7%,0.7%,Canadian,2021-11-10
Nonmetallic Minerals,"6,288",23.1%,"6,288",23.1%,12.4%,Canadian,2021-11-10
Petroleum and Petroleum Products,"8,947",11.2%,"8,947",11.2%,7.5%,Canadian,2021-11-10
Other,"1,609",-21.1%,"1,609",-21.1%,-17.2%,Canadian,2021-11-10
Total Intermodal Units,"73,447",-5.6%,"73,447",-5.6%,5.1%,Canadian,2021-11-10
Total Traffic,"152,815",-2.4%,"152,815",-2.4%,3.7%,Canadian,2021-11-10
Total Carloads,"19,351",-6.3%,"19,351",-6.3%,7.1%,Mexican,2021-11-10
Chemicals,883,-11.1%,883,-11.1%,-4.5%,Mexican,2021-11-10
Coal,49,600.0%,49,600.0%,459.7%,Mexican,2021-11-10
"Farm Products excl. Grain, and Food","2,295",17.6%,"2,295",17.6%,0.9%,Mexican,2021-11-10
Forest Products,40,344.4%,40,344.4%,-0.6%,Mexican,2021-11-10
Grain,"1,598",-35.1%,"1,598",-35.1%,-8.5%,Mexican,2021-11-10
Metallic Ores and Metals,"4,663",-0.7%,"4,663",-0.7%,13.2%,Mexican,2021-11-10
Motor Vehicles and Parts,"3,722",-21.8%,"3,722",-21.8%,6.6%,Mexican,2021-11-10
Nonmetallic Minerals,"4,111",-10.9%,"4,111",-10.9%,8.6%,Mexican,2021-11-10
Petroleum and Petroleum Products,"1,160",75.0%,"1,160",75.0%,37.1%,Mexican,2021-11-10
Other,830,68.0%,830,68.0%,3.2%,Mexican,2021-11-10
Total Intermodal Units,"14,181",-2.4%,"14,181",-2.4%,0.1%,Mexican,2021-11-10
Total Traffic,"33,532",-4.7%,"33,532",-4.7%,4.0%,Mexican,2021-11-10
Total Carloads,"334,304",2.0%,"334,304",2.0%,6.1%,North_american,2021-11-10
Chemicals,"46,853",6.4%,"46,853",6.4%,4.4%,North_american,2021-11-10
Coal,"74,498",11.7%,"74,498",11.7%,12.1%,North_american,2021-11-10
"Farm Products excl. Grain, and Food","26,781",0.3%,"26,781",0.3%,-2.9%,North_american,2021-11-10
Forest Products,"16,312",1.9%,"16,312",1.9%,5.6%,North_american,2021-11-10
Grain,"36,043",-15.7%,"36,043",-15.7%,2.3%,North_american,2021-11-10
Metallic Ores and Metals,"41,180",17.9%,"41,180",17.9%,17.1%,North_american,2021-11-10
Motor Vehicles and Parts,"19,431",-22.4%,"19,431",-22.4%,2.5%,North_american,2021-11-10
Nonmetallic Minerals,"41,049",2.4%,"41,049",2.4%,3.3%,North_american,2021-11-10
Petroleum and Petroleum Products,"20,117",5.1%,"20,117",5.1%,2.5%,North_american,2021-11-10
Other,"12,040",-2.8%,"12,040",-2.8%,0.2%,North_american,2021-11-10
Total Intermodal Units,"356,154",-7.8%,"356,154",-7.8%,6.8%,North_american,2021-11-10
Total Traffic,"690,458",-3.3%,"690,458",-3.3%,6.5%,North_american,2021-11-10
Total Carloads,"235,867",1.7%,"235,867",1.7%,7.2%,U.S,2021-11-17
Chemicals,"33,513",4.9%,"33,513",4.9%,5.6%,U.S,2021-11-17
Coal,"67,225",11.5%,"67,225",11.5%,11.6%,U.S,2021-11-17
"Farm Products excl. Grain, and Food","16,480",0.7%,"16,480",0.7%,2.3%,U.S,2021-11-17
Forest Products,"9,854",6.7%,"9,854",6.7%,8.1%,U.S,2021-11-17
Grain,"25,336",-13.0%,"25,336",-13.0%,5.3%,U.S,2021-11-17
Metallic Ores and Metals,"20,236",3.3%,"20,236",3.3%,25.6%,U.S,2021-11-17
Motor Vehicles and Parts,"12,690",-18.1%,"12,690",-18.1%,1.3%,U.S,2021-11-17
Nonmetallic Minerals,"30,983",6.6%,"30,983",6.6%,1.0%,U.S,2021-11-17
Petroleum and Petroleum Products,"10,136",-5.5%,"10,136",-5.5%,-3.9%,U.S,2021-11-17
Other,"9,414",-7.2%,"9,414",-7.2%,3.2%,U.S,2021-11-17
Total Intermodal Units,"266,746",-9.7%,"266,746",-9.7%,7.2%,U.S,2021-11-17
Total Traffic,"502,613",-4.7%,"502,613",-4.7%,7.2%,U.S,2021-11-17
Total Carloads,"77,772",-2.7%,"77,772",-2.7%,2.3%,Canadian,2021-11-17
Chemicals,"11,769",1.8%,"11,769",1.8%,1.8%,Canadian,2021-11-17
Coal,"7,880",14.2%,"7,880",14.2%,15.2%,Canadian,2021-11-17
"Farm Products excl. Grain, and Food","6,763",-22.9%,"6,763",-22.9%,-14.1%,Canadian,2021-11-17
Forest Products,"6,029",-5.0%,"6,029",-5.0%,1.8%,Canadian,2021-11-17
Grain,"9,775",-11.4%,"9,775",-11.4%,-3.5%,Canadian,2021-11-17
Metallic Ores and Metals,"15,481",-4.8%,"15,481",-4.8%,6.7%,Canadian,2021-11-17
Motor Vehicles and Parts,"4,029",-11.2%,"4,029",-11.2%,0.4%,Canadian,2021-11-17
Nonmetallic Minerals,"5,323",19.2%,"5,323",19.2%,12.6%,Canadian,2021-11-17
Petroleum and Petroleum Products,"8,836",5.7%,"8,836",5.7%,7.5%,Canadian,2021-11-17
Other,"1,887",12.9%,"1,887",12.9%,-16.6%,Canadian,2021-11-17
Total Intermodal Units,"70,295",-9.0%,"70,295",-9.0%,4.8%,Canadian,2021-11-17
Total Traffic,"148,067",-5.8%,"148,067",-5.8%,3.5%,Canadian,2021-11-17
Total Carloads,"21,294",4.7%,"21,294",4.7%,7.0%,Mexican,2021-11-17
Chemicals,"1,055",-8.3%,"1,055",-8.3%,-4.6%,Mexican,2021-11-17
Coal,142,992.3%,142,992.3%,472.0%,Mexican,2021-11-17
"Farm Products excl. Grain, and Food","2,286",-13.1%,"2,286",-13.1%,0.6%,Mexican,2021-11-17
Forest Products,42,600.0%,42,600.0%,3.5%,Mexican,2021-11-17
Grain,"1,567",-22.5%,"1,567",-22.5%,-8.8%,Mexican,2021-11-17
Metallic Ores and Metals,"5,380",19.9%,"5,380",19.9%,13.3%,Mexican,2021-11-17
Motor Vehicles and Parts,"4,275",-4.6%,"4,275",-4.6%,6.3%,Mexican,2021-11-17
Nonmetallic Minerals,"4,416",5.2%,"4,416",5.2%,8.5%,Mexican,2021-11-17
Petroleum and Petroleum Products,"1,300",61.9%,"1,300",61.9%,37.6%,Mexican,2021-11-17
Other,831,52.8%,831,52.8%,4.1%,Mexican,2021-11-17
Total Intermodal Units,"15,225",1.7%,"15,225",1.7%,0.1%,Mexican,2021-11-17
Total Traffic,"36,519",3.4%,"36,519",3.4%,3.9%,Mexican,2021-11-17
Total Carloads,"334,933",0.8%,"334,933",0.8%,6.0%,North_american,2021-11-17
Chemicals,"46,337",3.7%,"46,337",3.7%,4.4%,North_american,2021-11-17
Coal,"75,247",11.9%,"75,247",11.9%,12.1%,North_american,2021-11-17
"Farm Products excl. Grain, and Food","25,529",-8.1%,"25,529",-8.1%,-3.1%,North_american,2021-11-17
Forest Products,"15,925",2.2%,"15,925",2.2%,5.5%,North_american,2021-11-17
Grain,"36,678",-13.0%,"36,678",-13.0%,1.9%,North_american,2021-11-17
Metallic Ores and Metals,"41,097",1.9%,"41,097",1.9%,16.7%,North_american,2021-11-17
Motor Vehicles and Parts,"20,994",-14.3%,"20,994",-14.3%,2.0%,North_american,2021-11-17
Nonmetallic Minerals,"40,722",7.9%,"40,722",7.9%,3.4%,North_american,2021-11-17
Petroleum and Petroleum Products,"20,272",1.9%,"20,272",1.9%,2.4%,North_american,2021-11-17
Other,"12,132",-1.8%,"12,132",-1.8%,0.2%,North_american,2021-11-17
Total Intermodal Units,"352,266",-9.1%,"352,266",-9.1%,6.4%,North_american,2021-11-17
Total Traffic,"687,199",-4.5%,"687,199",-4.5%,6.2%,North_american,2021-11-17
Total Carloads,"237,244",1.6%,"237,244",1.6%,7.1%,U.S,2021-11-24
Chemicals,"34,174",4.4%,"34,174",4.4%,5.6%,U.S,2021-11-24
Coal,"64,719",2.8%,"64,719",2.8%,11.4%,U.S,2021-11-24
"Farm Products excl. Grain, and Food","17,118",1.3%,"17,118",1.3%,2.3%,U.S,2021-11-24
Forest Products,"9,897",4.2%,"9,897",4.2%,8.0%,U.S,2021-11-24
Grain,"24,494",-2.8%,"24,494",-2.8%,5.1%,U.S,2021-11-24
Metallic Ores and Metals,"21,524",9.3%,"21,524",9.3%,25.3%,U.S,2021-11-24
Motor Vehicles and Parts,"14,690",-5.7%,"14,690",-5.7%,1.1%,U.S,2021-11-24
Nonmetallic Minerals,"31,136",4.1%,"31,136",4.1%,1.1%,U.S,2021-11-24
Petroleum and Petroleum Products,"10,428",-4.4%,"10,428",-4.4%,-3.9%,U.S,2021-11-24
Other,"9,064",-10.0%,"9,064",-10.0%,2.9%,U.S,2021-11-24
Total Intermodal Units,"271,065",-10.0%,"271,065",-10.0%,6.7%,U.S,2021-11-24
Total Traffic,"508,309",-4.9%,"508,309",-4.9%,6.9%,U.S,2021-11-24
Total Carloads,"73,037",-12.0%,"73,037",-12.0%,1.9%,Canadian,2021-11-24
Chemicals,"11,734",5.1%,"11,734",5.1%,1.9%,Canadian,2021-11-24
Coal,"4,629",-41.8%,"4,629",-41.8%,13.7%,Canadian,2021-11-24
"Farm Products excl. Grain, and Food","6,558",-21.3%,"6,558",-21.3%,-14.3%,Canadian,2021-11-24
Forest Products,"6,157",-2.3%,"6,157",-2.3%,1.7%,Canadian,2021-11-24
Grain,"8,250",-29.2%,"8,250",-29.2%,-4.2%,Canadian,2021-11-24
Metallic Ores and Metals,"16,268",5.1%,"16,268",5.1%,6.6%,Canadian,2021-11-24
Motor Vehicles and Parts,"4,202",-19.3%,"4,202",-19.3%,-0.1%,Canadian,2021-11-24
Nonmetallic Minerals,"5,538",-2.9%,"5,538",-2.9%,12.2%,Canadian,2021-11-24
Petroleum and Petroleum Products,"8,085",-10.8%,"8,085",-10.8%,7.0%,Canadian,2021-11-24
Other,"1,616",-22.8%,"1,616",-22.8%,-16.7%,Canadian,2021-11-24
Total Intermodal Units,"52,947",-32.7%,"52,947",-32.7%,3.8%,Canadian,2021-11-24
Total Traffic,"125,984",-22.1%,"125,984",-22.1%,2.8%,Canadian,2021-11-24
Total Carloads,"19,117",-7.2%,"19,117",-7.2%,6.7%,Mexican,2021-11-24
Chemicals,944,-7.1%,944,-7.1%,-4.7%,Mexican,2021-11-24
Coal,79,393.8%,79,393.8%,469.8%,Mexican,2021-11-24
"Farm Products excl. Grain, and Food","1,797",-19.9%,"1,797",-19.9%,0.1%,Mexican,2021-11-24
Forest Products,30,150.0%,30,150.0%,5.5%,Mexican,2021-11-24
Grain,"1,845",-11.1%,"1,845",-11.1%,-8.9%,Mexican,2021-11-24
Metallic Ores and Metals,"4,627",1.0%,"4,627",1.0%,13.0%,Mexican,2021-11-24
Motor Vehicles and Parts,"3,408",-28.8%,"3,408",-28.8%,5.3%,Mexican,2021-11-24
Nonmetallic Minerals,"4,350",-4.1%,"4,350",-4.1%,8.2%,Mexican,2021-11-24
Petroleum and Petroleum Products,"1,298",91.2%,"1,298",91.2%,38.6%,Mexican,2021-11-24
Other,739,12.1%,739,12.1%,4.2%,Mexican,2021-11-24
Total Intermodal Units,"14,368",-0.6%,"14,368",-0.6%,0.1%,Mexican,2021-11-24
Total Traffic,"33,485",-4.5%,"33,485",-4.5%,3.8%,Mexican,2021-11-24
Total Carloads,"329,398",-2.3%,"329,398",-2.3%,5.8%,North_american,2021-11-24
Chemicals,"46,852",4.3%,"46,852",4.3%,4.4%,North_american,2021-11-24
Coal,"69,427",-2.1%,"69,427",-2.1%,11.7%,North_american,2021-11-24
"Farm Products excl. Grain, and Food","25,473",-7.3%,"25,473",-7.3%,-3.2%,North_american,2021-11-24
Forest Products,"16,084",1.7%,"16,084",1.7%,5.4%,North_american,2021-11-24
Grain,"34,589",-11.2%,"34,589",-11.2%,1.6%,North_american,2021-11-24
Metallic Ores and Metals,"42,419",6.7%,"42,419",6.7%,16.5%,North_american,2021-11-24
Motor Vehicles and Parts,"22,300",-12.8%,"22,300",-12.8%,1.6%,North_american,2021-11-24
Nonmetallic Minerals,"41,024",2.2%,"41,024",2.2%,3.3%,North_american,2021-11-24
Petroleum and Petroleum Products,"19,811",-4.0%,"19,811",-4.0%,2.3%,North_american,2021-11-24
Other,"11,419",-11.0%,"11,419",-11.0%,-0.1%,North_american,2021-11-24
Total Intermodal Units,"338,380",-14.2%,"338,380",-14.2%,5.8%,North_american,2021-11-24
Total Traffic,"667,778",-8.7%,"667,778",-8.7%,5.8%,North_american,2021-11-24
Total Carloads,"209,091",1.6%,"209,091",1.6%,7.0%,U.S,2021-12-01
Chemicals,"30,015",4.9%,"30,015",4.9%,5.6%,U.S,2021-12-01
Coal,"63,947",7.4%,"63,947",7.4%,11.3%,U.S,2021-12-01
"Farm Products excl. Grain, and Food","15,188",4.6%,"15,188",4.6%,2.4%,U.S,2021-12-01
Forest Products,"8,773",-0.9%,"8,773",-0.9%,7.8%,U.S,2021-12-01
Grain,"23,616",-5.5%,"23,616",-5.5%,4.8%,U.S,2021-12-01
Metallic Ores and Metals,"18,255",-2.9%,"18,255",-2.9%,24.6%,U.S,2021-12-01
Motor Vehicles and Parts,"10,700",-10.8%,"10,700",-10.8%,0.9%,U.S,2021-12-01
Nonmetallic Minerals,"23,270",4.9%,"23,270",4.9%,1.2%,U.S,2021-12-01
Petroleum and Petroleum Products,"8,934",-1.5%,"8,934",-1.5%,-3.8%,U.S,2021-12-01
Other,"6,393",-12.9%,"6,393",-12.9%,2.6%,U.S,2021-12-01
Total Intermodal Units,"221,702",-10.1%,"221,702",-10.1%,6.4%,U.S,2021-12-01
Total Traffic,"430,793",-4.8%,"430,793",-4.8%,6.7%,U.S,2021-12-01
Total Carloads,"66,506",-18.9%,"66,506",-18.9%,1.5%,Canadian,2021-12-01
Chemicals,"10,725",-13.0%,"10,725",-13.0%,1.5%,Canadian,2021-12-01
Coal,"3,681",-50.1%,"3,681",-50.1%,12.1%,Canadian,2021-12-01
"Farm Products excl. Grain, and Food","5,003",-39.2%,"5,003",-39.2%,-14.8%,Canadian,2021-12-01
Forest Products,"5,673",-14.0%,"5,673",-14.0%,1.3%,Canadian,2021-12-01
Grain,"7,337",-41.6%,"7,337",-41.6%,-5.3%,Canadian,2021-12-01
Metallic Ores and Metals,"16,036",4.7%,"16,036",4.7%,6.6%,Canadian,2021-12-01
Motor Vehicles and Parts,"3,192",-29.8%,"3,192",-29.8%,-0.8%,Canadian,2021-12-01
Nonmetallic Minerals,"5,144",13.9%,"5,144",13.9%,12.2%,Canadian,2021-12-01
Petroleum and Petroleum Products,"8,569",-3.2%,"8,569",-3.2%,6.7%,Canadian,2021-12-01
Other,"1,146",-29.9%,"1,146",-29.9%,-17.0%,Canadian,2021-12-01
Total Intermodal Units,"46,106",-38.4%,"46,106",-38.4%,2.9%,Canadian,2021-12-01
Total Traffic,"112,612",-28.2%,"112,612",-28.2%,2.1%,Canadian,2021-12-01
Total Carloads,"20,210",-6.7%,"20,210",-6.7%,6.4%,Mexican,2021-12-01
Chemicals,989,-1.1%,989,-1.1%,-4.6%,Mexican,2021-12-01
Coal,38,171.4%,38,171.4%,462.8%,Mexican,2021-12-01
"Farm Products excl. Grain, and Food","2,275",-18.6%,"2,275",-18.6%,-0.4%,Mexican,2021-12-01
Forest Products,28,86.7%,28,86.7%,6.8%,Mexican,2021-12-01
Grain,"1,915",-22.4%,"1,915",-22.4%,-9.2%,Mexican,2021-12-01
Metallic Ores and Metals,"4,982",10.5%,"4,982",10.5%,13.0%,Mexican,2021-12-01
Motor Vehicles and Parts,"4,378",-19.2%,"4,378",-19.2%,4.5%,Mexican,2021-12-01
Nonmetallic Minerals,"3,545",-12.1%,"3,545",-12.1%,7.8%,Mexican,2021-12-01
Petroleum and Petroleum Products,"1,160",43.0%,"1,160",43.0%,38.6%,Mexican,2021-12-01
Other,900,51.5%,900,51.5%,5.1%,Mexican,2021-12-01
Total Intermodal Units,"14,145",-3.6%,"14,145",-3.6%,0.1%,Mexican,2021-12-01
Total Traffic,"34,355",-5.4%,"34,355",-5.4%,3.6%,Mexican,2021-12-01
Total Carloads,"295,807",-4.4%,"295,807",-4.4%,5.6%,North_american,2021-12-01
Chemicals,"41,729",-0.5%,"41,729",-0.5%,4.3%,North_american,2021-12-01
Coal,"67,666",1.1%,"67,666",1.1%,11.5%,North_american,2021-12-01
"Farm Products excl. Grain, and Food","22,466",-12.0%,"22,466",-12.0%,-3.3%,North_american,2021-12-01
Forest Products,"14,474",-6.4%,"14,474",-6.4%,5.2%,North_american,2021-12-01
